TRI Facility Name,TRI Facility ID,Year,Census Tract,Census Block Group,Demographic Index Percentile,Supplemental Demographic Index Percentile,People of Color Percentile,Low Income Percentile,Unemployment Rate Percentile,Limited English Speaking Percentile,Less Than High School Education Percentile,Under Age 5 Percentile,Over Age 64 Percentile,ZIP Code,Street Address,City,Latitude,Longitude,Chemical,Industry Sector,Releases (lb),Air Releases (lb),Water Releases (lb),Land Releases (lb),Off-Site Releases (lb),Waste Managed (lb),RSEI Hazard,Number of Source Reduction Activities
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2021,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6104 BOAT ROCK BLVD,"ATLANTA, GA",33.72726,-84.59314,Naphthalene (91-20-3),332 Fabricated Metals,1556.0,1556.0,0.0,0,0.0,155638.0,16487376000,0
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2021,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6104 BOAT ROCK BLVD,"ATLANTA, GA",33.72726,-84.59314,"1,2,4-Trimethylbenzene (95-63-6)",332 Fabricated Metals,1495.0,1495.0,0.0,0,0.0,149510.0,76564930,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2021,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,"1,2,4-Trimethylbenzene (95-63-6)",325 Chemicals,1494.8,19.8,0.0,0,1475.0,1497.8,131256537,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2021,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Ethylbenzene (100-41-4),325 Chemicals,1416.26,1416.0,0.0,0,0.26,151150.26,1113044458,0
METALPLATE GALVANIZING LP,30336MTLPL500SE,2021,13121007805,131210078051,89,62,94,70,62,59,23,43,24,30336,505 SELIG DR SW,"ATLANTA, GA",33.74632,-84.54594,Zinc compounds (N982),332 Fabricated Metals,1250.0,0.0,0.0,0,1250.0,602740.0,110375000,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2021,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Ethylene glycol (107-21-1),325 Chemicals,1049.0,697.0,0.0,0,352.0,1063.0,8151150,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2021,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,n-Butyl alcohol (71-36-3),325 Chemicals,887.0,887.0,0.0,0,0.0,29713.0,7832210,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2021,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Dicyclopentadiene (77-73-6),325 Chemicals,799.6,799.6,0.0,0,0.0,2757.11,12708842400,0
OWENS CORNING INSULATING SYSTEMS LLC FAIRBURN GA,30213WNSCR7000M,2021,13121010520,131210105203,97,91,87,98,94,81,27,99,23,30213,7000 MCLARIN RD,"FAIRBURN, GA",33.538889,-84.616667,Manganese compounds (N450),327 Nonmetallic Mineral Product,777.0,117.0,0.0,0,660.0,142576.0,8233092000,0
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2021,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6104 BOAT ROCK BLVD,"ATLANTA, GA",33.72726,-84.59314,Ethylbenzene (100-41-4),332 Fabricated Metals,643.0,643.0,0.0,0,0.0,73011.0,505314410,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2021,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Maleic anhydride (108-31-6),325 Chemicals,635.5,635.5,0.0,0,0.0,1063.5,2805732500,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2021,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Methyl isobutyl ketone (108-10-1),325 Chemicals,610.0,610.0,0.0,0,0.0,29111.0,646356,0
CLOROX PRODUCTS MANUFACTURING,3029WCLRXP115LA,2021,13063040308,130630403081,94,97,83,96,65,95,96,0,17,30297,115 LAKE MIRROR RD,"FOREST PARK, GA",33.62735,-84.39149,Certain glycol ethers (N230),325 Chemicals,554.96,3.01,0.0,0,551.95,6902.42,175932275,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2021,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,"1,2,4-Trimethylbenzene (95-63-6)",325 Chemicals,525.0,525.0,0.0,0,0.0,11391.0,26887350,0
BRADDOCK METALLURGICAL - GA,3033WBRDDC15LAG,2021,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,1050 LAGRANGE BLVD SW,"ATLANTA, GA",33.72474,-84.59052,Ammonia (7664-41-7),332 Fabricated Metals,316.0,316.0,0.0,0,0.0,316.0,1953196,0
LOUIS BERGER ATL FUEL SERVICES,30320LLDVT34NIN,2021,13121980000,131219800001,0,0,0,0,0,0,0,0,0,30320,3400 N  LOOP RD,"ATLANTA, GA",33.652347,-84.416767,Toluene (108-88-3),4247 Petroleum Bulk Terminals,286.86,286.86,0.0,0,0.0,286.86,177308,0
LOUIS BERGER ATL FUEL SERVICES,30320LLDVT34NIN,2021,13121980000,131219800001,0,0,0,0,0,0,0,0,0,30320,3400 N  LOOP RD,"ATLANTA, GA",33.652347,-84.416767,Xylene (mixed isomers) (1330-20-7),4247 Petroleum Bulk Terminals,229.49,229.49,0.0,0,0.0,229.49,7092388,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2021,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Toluene diisocyanate (mixed isomers) (26471-62-5),325 Chemicals,140.72,140.72,0.0,0,0.0,140.72,6212788000,0
LOUIS BERGER ATL FUEL SERVICES,30320LLDVT34NIN,2021,13121980000,131219800001,0,0,0,0,0,0,0,0,0,30320,3400 N  LOOP RD,"ATLANTA, GA",33.652347,-84.416767,Ethylbenzene (100-41-4),4247 Petroleum Bulk Terminals,123.28,123.28,0.0,0,0.0,123.28,96882054,0
LOUIS BERGER ATL FUEL SERVICES,30320LLDVT34NIN,2021,13121980000,131219800001,0,0,0,0,0,0,0,0,0,30320,3400 N  LOOP RD,"ATLANTA, GA",33.652347,-84.416767,"1,2,4-Trimethylbenzene (95-63-6)",4247 Petroleum Bulk Terminals,114.75,114.75,0.0,0,0.0,114.75,5876807,0
BRENNTAG MID-SOUTH INC.,30344PBSCH2225L,2021,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2225 LAWERENCE AVE,"EAST POINT, GA",33.69,-84.44,Certain glycol ethers (N230),4246 Chemical Wholesalers,101.0,101.0,0.0,0,0.0,101.0,16052940,0
LOUIS BERGER ATL FUEL SERVICES,30320LLDVT34NIN,2021,13121980000,131219800001,0,0,0,0,0,0,0,0,0,30320,3400 N  LOOP RD,"ATLANTA, GA",33.652347,-84.416767,Benzene (71-43-2),4247 Petroleum Bulk Terminals,76.5,76.5,0.0,0,0.0,76.5,1891386000,0
BRENNTAG MID-SOUTH INC.,30344PBSCH2225L,2021,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2225 LAWERENCE AVE,"EAST POINT, GA",33.69,-84.44,Nonylphenol Ethoxylates (N535),4246 Chemical Wholesalers,75.0,75.0,0.0,0,0.0,75.0,0,0
LOUIS BERGER ATL FUEL SERVICES,30320LLDVT34NIN,2021,13121980000,131219800001,0,0,0,0,0,0,0,0,0,30320,3400 N  LOOP RD,"ATLANTA, GA",33.652347,-84.416767,n-Hexane (110-54-3),4247 Petroleum Bulk Terminals,57.37,57.37,0.0,0,0.0,57.37,253289,0
WILLIAM C. MEREDITH CO. INC.,30344WLLMC2335L,2021,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2335 LAWRENCE ST,"EAST POINT, GA",33.690724,-84.440188,Pentachlorophenol (87-86-5),321 Wood Products,34.12,0.0,26.0,0,8.12,1635.0,14919168000,1
CLOROX PRODUCTS MANUFACTURING CO,30050CLRXC17LAK,2021,13063040308,130630403081,94,97,83,96,65,95,96,0,17,30297,17 LAKE MIRROR RD,"FOREST PARK, GA",33.627222,-84.386839,Certain glycol ethers (N230),325 Chemicals,32.48,12.61,0.0,0,19.87,261.02,8320763,0
STERILIZATION SERVICES OF GEORGIA,30336STRLZ6005B,2021,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6005 BOAT ROCK BLVD SW,"ATLANTA, GA",33.72623,-84.58422,Ethylene oxide (75-21-8),339 Miscellaneous Manufacturing,26.65,26.65,0.0,0,0.0,120814.55,258851450000,0
LOUIS BERGER ATL FUEL SERVICES,30320LLDVT34NIN,2021,13121980000,131219800001,0,0,0,0,0,0,0,0,0,30320,3400 N  LOOP RD,"ATLANTA, GA",33.652347,-84.416767,Naphthalene (91-20-3),4247 Petroleum Bulk Terminals,20.01,20.01,0.0,0,0.0,20.01,212025960,0
OWENS CORNING INSULATING SYSTEMS LLC FAIRBURN GA,30213WNSCR7000M,2021,13121010520,131210105203,97,91,87,98,94,81,27,99,23,30213,7000 MCLARIN RD,"FAIRBURN, GA",33.538889,-84.616667,Lead compounds (N420),327 Nonmetallic Mineral Product,9.0,2.0,0.0,0,7.0,1526.0,182781000,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2021,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,"N,N-Dimethylaniline (121-69-7)",325 Chemicals,6.78,6.78,0.0,0,0.0,6.78,16164198,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2021,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Cobalt compounds (N096),325 Chemicals,6.2,6.2,0.0,0,0.0,6.2,93068200000,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2021,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Certain glycol ethers (N230),325 Chemicals,1.6,0.0,0.0,0,1.6,13250.5,254304,0
PAVESTONE - TYRONE GA PLANT,3029WPVSTN169PE,2021,13113140203,131131402033,53,26,68,18,60,0,47,96,39,30290,169 PEGGY LN,"TYRONE, GA",33.497216,-84.58073,Lead (7439-92-1),327 Nonmetallic Mineral Product,1.0,1.0,0.0,0,0.0,1.0,20309000,0
HM SOUTHEAST CONCRETE LLC - TYRONE PLANT,3029WFRBRN1PEGG,2021,13113140203,131131402033,53,26,68,18,60,0,47,96,39,30290,100 PEGGY LN,"TYRONE, GA",33.49602,-84.57894,Lead compounds (N420),327 Nonmetallic Mineral Product,0.95,0.95,0.0,0,0.0,0.95,19354477,0
HM SOUTHEAST CONCRETE LLC - FAIRBURN PLANT,3021WFRBRN387BA,2021,13121010528,131210105283,90,56,90,79,0,0,0,0,0,30213,387 BAY ST NE,"FAIRBURN, GA",33.57077,-84.5703,Lead compounds (N420),327 Nonmetallic Mineral Product,0.7,0.7,0.0,0,0.0,0.7,14232547,0
ARGOS RED OAK CONCRETE PLANT,30337RDKCN2685S,2021,13121010522,131210105222,90,53,96,71,52,0,0,92,4,30337,2685 SULLIVAN RD,"COLLEGE PARK, GA",33.62472,-84.47552,Lead (7439-92-1),327 Nonmetallic Mineral Product,0.08,0.08,0.0,0,0.0,0.08,1624720,0
THOMAS CONCRETE - BEN HILL,3033WTHMSC2454D,2021,13121007710,131210077103,92,57,92,83,0,0,0,0,43,30331,2454 DANIELS ROAD,"ATLANTA, GA",33.68739,-84.51495,Lead compounds (N420),327 Nonmetallic Mineral Product,0.05,0.05,0.0,0,0.0,0.05,995141,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2021,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Nonylphenol Ethoxylates (N535),325 Chemicals,0.04,0.0,0.0,0,0.04,2030.04,0,0
THOMAS CONCRETE - TYRONE,3029WTHMSC185PE,2021,13113140203,131131402033,53,26,68,18,60,0,47,96,39,30290,185 PEGGY LN,"TYRONE, GA",33.495223,-84.581484,Lead compounds (N420),327 Nonmetallic Mineral Product,0.02,0.02,0.0,0,0.0,0.02,385871,0
WILLIAM C. MEREDITH CO. INC.,30344WLLMC2335L,2021,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2335 LAWRENCE ST,"EAST POINT, GA",33.690724,-84.440188,Dioxin and dioxin-like compounds (N150),321 Wood Products,0.01,0.0,0.01,0,0.0,0.62,59815193,1
BEST BLOCK - GEORGIA PLANT,3021WBSTBL7685B,2021,13121010520,131210105203,97,91,87,98,94,81,27,99,23,30213,7685 BISHOP RD,"FAIRBURN, GA",33.545361,-84.62111,Lead (7439-92-1),327 Nonmetallic Mineral Product,0.0,0.0,0.0,0,0.0,0.0,0,0
BRENNTAG MID-SOUTH INC.,30344PBSCH2225L,2021,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2225 LAWERENCE AVE,"EAST POINT, GA",33.69,-84.44,Ethylene glycol (107-21-1),4246 Chemical Wholesalers,0.0,0.0,0.0,0,0.0,0.0,0,0
KOR-CHEM INC,30336KRCHM5800B,2021,13121010312,131210103122,75,18,97,4,45,0,57,17,73,30336,5800 BUCKNELL DR,"ATLANTA, GA",33.74407,-84.57048,"1,4-Dichlorobenzene (106-46-7)",325 Chemicals,0.0,0.0,0.0,0,0.0,0.0,0,0
KOR-CHEM INC,30336KRCHM5800B,2021,13121010312,131210103122,75,18,97,4,45,0,57,17,73,30336,5800 BUCKNELL DR,"ATLANTA, GA",33.74407,-84.57048,Certain glycol ethers (N230),325 Chemicals,0.0,0.0,0.0,0,0.0,0.0,0,0
NESTLE PURINA PETCARE CO,30213RLSTN5001F,2021,13121010540,131210105402,0,1,0,0,0,0,0,0,0,30213,5001 FAYETTEVILLE RD,"FAIRBURN, GA",33.55226,-84.54957,Copper compounds (N100),311 Food,0.0,0.0,0.0,0,0.0,0.0,0,0
NESTLE PURINA PETCARE CO,30213RLSTN5001F,2021,13121010540,131210105402,0,1,0,0,0,0,0,0,0,30213,5001 FAYETTEVILLE RD,"FAIRBURN, GA",33.55226,-84.54957,Propylene (115-07-1),311 Food,0.0,0.0,0.0,0,0.0,0.0,0,0
POREX CORP,30213PRXTC500BO,2021,13121010519,131210105191,97,91,86,98,0,91,64,94,39,30213,500 BOHANNON RD,"FAIRBURN, GA",33.55411,-84.593782,Mercury (7439-97-6),326 Plastics and Rubber,0.0,0.0,0.0,0,0.0,0.0,0,0
READY MIX USA LLC - COLLEGE PARK PLANT,3033WRDYMX4679R,2021,13121010603,131210106033,99,87,93,99,0,0,0,54,6,30337,2194 W POINT AVE,"ATLANTA, GA",33.63673,-84.46115,Lead compounds (N420),327 Nonmetallic Mineral Product,0.0,0.0,0.0,0,0.0,0.0,0,0
STERILIZATION SERVICES OF GEORGIA,30336STRLZ6005B,2021,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6005 BOAT ROCK BLVD SW,"ATLANTA, GA",33.72623,-84.58422,Ethylene glycol (107-21-1),339 Miscellaneous Manufacturing,0.0,0.0,0.0,0,0.0,263544.0,0,0
STO CORP,30331STCRP6175R,2021,13121010313,131210103131,82,30,97,36,29,0,30,60,37,30331,6175 RIVERSIDE DR SW,"ATLANTA, GA",33.70942,-84.58968,Zinc compounds (N982),327 Nonmetallic Mineral Product,0.0,0.0,0.0,0,0.0,0.0,0,0
UFP UNION CITY LLC,30291NVRSL6843G,2021,13121010528,131210105282,79,26,93,26,71,0,0,0,0,30291,5200 HWY 138 SUITE 100,"UNION CITY, GA",33.56946,-84.55475,Copper compounds (N100),321 Wood Products,0.0,0.0,0.0,0,0.0,0.0,0,0
UFP UNION CITY LLC,30291NVRSL6843G,2021,13121010528,131210105282,79,26,93,26,71,0,0,0,0,30291,5200 HWY 138 SUITE 100,"UNION CITY, GA",33.56946,-84.55475,Sodium nitrite (7632-00-0),321 Wood Products,0.0,0.0,0.0,0,0.0,0.0,0,0
VALVOLINE,30337VLVLN4680E,2021,13121010604,131210106041,93,83,91,87,78,75,48,38,0,30337,4680 EDISON DR,"COLLEGE PARK, GA",33.628128,-84.464652,Zinc compounds (N982),324 Petroleum Products,0.0,0.0,0.0,0,0.0,0.0,0,0
WILLIAM C. MEREDITH CO. INC.,30344WLLMC2335L,2021,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2335 LAWRENCE ST,"EAST POINT, GA",33.690724,-84.440188,Polycyclic aromatic compounds (N590),321 Wood Products,0.0,0.0,0.0,0,0.0,0.9,0,0
OWENS CORNING INSULATING SYSTEMS LLC FAIRBURN GA,30213WNSCR7000M,2022,13121010520,131210105203,97,91,87,98,94,81,27,99,23,30213,7000 MCLARIN RD,"FAIRBURN, GA",33.538889,-84.616667,Manganese compounds (N450),327 Nonmetallic Mineral Product,143169.0,116.0,0.0,0,143053.0,346588.0,1517018724000,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2022,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Xylene (mixed isomers) (1330-20-7),325 Chemicals,32616.6,697.6,0.0,0,31919.0,164897.6,1008016023,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2022,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Toluene (108-88-3),325 Chemicals,27007.6,535.6,0.0,0,26472.0,70923.6,304203142,0
WINLAND FOODS INC.,3034WBYVLL1NATU,2022,13121010529,131210105293,88,77,92,69,97,0,68,65,60,30349,1000 NATURALLY FRESH BLVD,"ATLANTA, GA",33.613838,-84.514583,Ammonia (7664-41-7),311 Food,23007.4,23007.4,0.0,0,0.0,23007.4,142208739,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2022,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Styrene (100-42-5),325 Chemicals,22718.32,7086.0,0.0,0,15632.32,67458.1,90917344,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2022,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Ethylene glycol (107-21-1),325 Chemicals,8463.0,18.0,0.0,0,8445.0,30341.0,65760895,0
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2022,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6104 BOAT ROCK BLVD,"ATLANTA, GA",33.72726,-84.59314,Xylene (mixed isomers) (1330-20-7),332 Fabricated Metals,5915.0,5915.0,0.0,0,0.0,610135.0,182803075,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2022,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Ethylbenzene (100-41-4),325 Chemicals,5619.6,171.6,0.0,0,5448.0,28726.6,5426497692,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2022,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Phthalic anhydride (85-44-9),325 Chemicals,5272.6,2472.6,0.0,0,2800.0,16360.6,838027044,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2022,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Maleic anhydride (108-31-6),325 Chemicals,5109.0,609.0,0.0,0,4500.0,18347.0,22556235000,0
SVC MANUFACTURING,30336QKRTS1650W,2022,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,1650 WESTGATE PKWY,"ATLANTA, GA",33.70994,-84.59697,Peracetic acid (79-21-0),3121 Beverages,5070.01,2198.25,0.0,0,2871.76,38095.25,31556623095,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2022,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Zinc compounds (N982),325 Chemicals,4761.0,29.0,0.0,0,4732.0,4761.0,420396300,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2022,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Certain glycol ethers (N230),325 Chemicals,4473.0,48.0,0.0,0,4425.0,14398.0,710938620,0
NESTLE PURINA PETCARE CO,30213RLSTN5001F,2022,13121010540,131210105402,0,1,0,0,0,0,0,0,0,30213,5001 FAYETTEVILLE RD,"FAIRBURN, GA",33.55226,-84.54957,Zinc compounds (N982),311 Food,3897.0,0.0,0.0,0,3897.0,3897.0,344105100,1
BEKO TECHNOLOGIES CORP,3037WBKTCH9GREA,2022,13121010312,131210103122,75,18,97,4,45,0,57,17,73,30336,900 GREAT SOUTHWEST PKWY SW,"ATLANTA, GA",33.73386,-84.57059,n-Hexane (110-54-3),339 Miscellaneous Manufacturing,2347.0,2347.0,0.0,0,0.0,20415.0,10362005,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2022,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Toluene (108-88-3),325 Chemicals,2006.0,2006.0,0.0,0,0.0,136144.0,1239909,0
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2022,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6104 BOAT ROCK BLVD,"ATLANTA, GA",33.72726,-84.59314,Naphthalene (91-20-3),332 Fabricated Metals,1948.0,1948.0,0.0,0,0.0,194834.0,20641008000,0
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2022,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6104 BOAT ROCK BLVD,"ATLANTA, GA",33.72726,-84.59314,n-Butyl alcohol (71-36-3),332 Fabricated Metals,1924.0,1924.0,0.0,0,0.0,192394.0,16988920,0
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2022,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6104 BOAT ROCK BLVD,"ATLANTA, GA",33.72726,-84.59314,"1,2,4-Trimethylbenzene (95-63-6)",332 Fabricated Metals,1901.0,1901.0,0.0,0,0.0,190133.0,97357814,0
OWENS CORNING INSULATING SYSTEMS LLC FAIRBURN GA,30213WNSCR7000M,2022,13121010520,131210105203,97,91,87,98,94,81,27,99,23,30213,7000 MCLARIN RD,"FAIRBURN, GA",33.538889,-84.616667,Lead compounds (N420),327 Nonmetallic Mineral Product,1530.0,2.0,0.0,0,1528.0,3703.0,31072770000,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2022,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Xylene (mixed isomers) (1330-20-7),325 Chemicals,1209.0,1209.0,0.0,0,0.0,466544.0,37364145,0
NESTLE PURINA PETCARE CO,30213RLSTN5001F,2022,13121010540,131210105402,0,1,0,0,0,0,0,0,0,30213,5001 FAYETTEVILLE RD,"FAIRBURN, GA",33.55226,-84.54957,Manganese compounds (N450),311 Food,1151.0,0.0,0.0,0,1151.0,1151.0,12195996000,1
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2022,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Ethylene glycol (107-21-1),325 Chemicals,1084.5,692.5,0.0,0,392.0,1097.5,8426999,0
SPECTRA METAL SALES INC CC700,30336SPCTR6104B,2022,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,6104 BOAT ROCK BLVD,"ATLANTA, GA",33.72726,-84.59314,Ethylbenzene (100-41-4),332 Fabricated Metals,913.0,913.0,0.0,0,0.0,97490.0,717499310,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2022,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Dicyclopentadiene (77-73-6),325 Chemicals,804.7,804.7,0.0,0,0.0,2684.16,12789901800,0
METALPLATE GALVANIZING LP,30336MTLPL500SE,2022,13121007805,131210078051,89,62,94,70,62,59,23,43,24,30336,505 SELIG DR SW,"ATLANTA, GA",33.74632,-84.54594,Zinc compounds (N982),332 Fabricated Metals,579.0,570.0,9.0,0,0.0,701094.0,50357225,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2022,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,Ethylbenzene (100-41-4),325 Chemicals,495.0,495.0,0.0,0,0.0,112468.0,389005650,0
CLOROX PRODUCTS MANUFACTURING,3029WCLRXP115LA,2022,13063040308,130630403081,94,97,83,96,65,95,96,0,17,30297,115 LAKE MIRROR RD,"FOREST PARK, GA",33.62735,-84.39149,Certain glycol ethers (N230),325 Chemicals,417.53,1.93,0.0,0,415.6,5196.93,132417682,0
PPG ARCHITECTURAL FINISHES EAST POINT,30344PPGND1377O,2022,13121011100,131210111001,45,50,52,38,94,0,14,22,26,30344,1377 OAKLEIGH DR,"EAST POINT, GA",33.6891,-84.4326,n-Butyl alcohol (71-36-3),325 Chemicals,390.0,390.0,0.0,0,0.0,20954.0,3443700,0
BRADDOCK METALLURGICAL - GA,3033WBRDDC15LAG,2022,13121010313,131210103133,84,56,99,46,97,0,0,0,0,30336,1050 LAGRANGE BLVD SW,"ATLANTA, GA",33.72474,-84.59052,Ammonia (7664-41-7),332 Fabricated Metals,329.0,329.0,0.0,0,0.0,329.0,2033549,0
POLYNT COMPOSITES USA INC.,30050CRGLL71BAR,2022,13063040306,130630403061,98,92,96,95,85,78,80,99,10,30297,71 BARNETT RD,"FOREST PARK, GA",33.614444,-84.386389,Toluene diisocyanate (mixed isomers) (26471-62-5),325 Chemicals,116.86,116.86,0.0,0,0.0,116.86,5159369000,0
BRENNTAG MID-SOUTH INC.,30344PBSCH2225L,2022,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2225 LAWERENCE AVE,"EAST POINT, GA",33.69,-84.44,Certain glycol ethers (N230),4246 Chemical Wholesalers,105.0,105.0,0.0,0,0.0,105.0,16688700,0
NITRO QUIMICA CORP,30337SCHLL2300W,2022,13121010603,131210106033,99,87,93,99,0,0,0,54,6,30337,2300 W POINT AVE,"ATLANTA, GA",33.63617,-84.46188,Toluene (108-88-3),325 Chemicals,103.41,103.41,0.0,0,0.0,41905.41,63918,0
BRENNTAG MID-SOUTH INC.,30344PBSCH2225L,2022,13121011203,131210112032,67,58,64,67,59,0,31,61,61,30344,2225 LAWERENCE AVE,"EAST POINT, GA",33.69,-84.44,Nonylphenol Ethoxylates (N535),4246 Chemical Wholesalers,74.0,74.0,0.0,0,0.0,74.0,0,0
